"","country","fifa_code","goals","game","group"
"16","Brazil","BRA",3,1,"A"
"31","Croatia","CRO",1,1,"A"
"72","Mexico","MEX",1,2,"A"
"21","Cameroon","CMR",0,2,"A"
"18","Brazil","BRA",0,17,"A"
"70","Mexico","MEX",0,17,"A"
"33","Croatia","CRO",4,18,"A"
"19","Cameroon","CMR",0,18,"A"
"17","Brazil","BRA",4,33,"A"
"20","Cameroon","CMR",1,33,"A"
"32","Croatia","CRO",1,34,"A"
"71","Mexico","MEX",3,34,"A"
"85","Spain","ESP",1,3,"B"
"73","Netherlands","NED",5,3,"B"
"24","Chile","CHI",3,4,"B"
"9","Australia","AUS",1,4,"B"
"87","Spain","ESP",0,19,"B"
"22","Chile","CHI",2,19,"B"
"75","Netherlands","NED",3,20,"B"
"8","Australia","AUS",2,20,"B"
"86","Spain","ESP",3,35,"B"
"7","Australia","AUS",0,35,"B"
"74","Netherlands","NED",2,36,"B"
"23","Chile","CHI",0,36,"B"
"26","Colombia","COL",3,5,"C"
"50","Greece","GRE",0,5,"C"
"62","Ivory Coast","CIV",2,6,"C"
"66","Japan","JPN",1,6,"C"
"25","Colombia","COL",2,21,"C"
"61","Ivory Coast","CIV",1,21,"C"
"51","Greece","GRE",0,22,"C"
"64","Japan","JPN",0,22,"C"
"27","Colombia","COL",NA,37,"C"
"65","Japan","JPN",NA,37,"C"
"49","Greece","GRE",NA,38,"C"
"63","Ivory Coast","CIV",NA,38,"C"
"92","Uruguay","URU",1,7,"D"
"29","Costa Rica","CRC",3,7,"D"
"39","England","ENG",1,8,"D"
"60","Italy","ITA",2,8,"D"
"91","Uruguay","URU",2,23,"D"
"37","England","ENG",1,23,"D"
"30","Costa Rica","CRC",1,24,"D"
"58","Italy","ITA",0,24,"D"
"93","Uruguay","URU",NA,39,"D"
"59","Italy","ITA",NA,39,"D"
"28","Costa Rica","CRC",NA,40,"D"
"38","England","ENG",NA,40,"D"
"88","Switzerland","SUI",2,9,"E"
"35","Ecuador","ECU",1,9,"E"
"42","France","FRA",3,10,"E"
"54","Honduras","HON",0,10,"E"
"89","Switzerland","SUI",2,25,"E"
"40","France","FRA",5,25,"E"
"36","Ecuador","ECU",2,26,"E"
"52","Honduras","HON",1,26,"E"
"90","Switzerland","SUI",NA,41,"E"
"53","Honduras","HON",NA,41,"E"
"34","Ecuador","ECU",NA,42,"E"
"41","France","FRA",NA,42,"E"
"4","Argentina","ARG",2,11,"F"
"14","Bosnia and Herzegovina","BIH",1,11,"F"
"57","Iran","IRN",0,12,"F"
"78","Nigeria","NGA",0,12,"F"
"5","Argentina","ARG",1,27,"F"
"55","Iran","IRN",0,27,"F"
"15","Bosnia and Herzegovina","BIH",0,28,"F"
"76","Nigeria","NGA",1,28,"F"
"6","Argentina","ARG",NA,43,"F"
"77","Nigeria","NGA",NA,43,"F"
"13","Bosnia and Herzegovina","BIH",NA,44,"F"
"56","Iran","IRN",NA,44,"F"
"43","Germany","GER",4,13,"G"
"80","Portugal","POR",0,13,"G"
"48","Ghana","GHA",1,14,"G"
"96","USA","USA",2,14,"G"
"44","Germany","GER",2,29,"G"
"47","Ghana","GHA",2,29,"G"
"81","Portugal","POR",2,30,"G"
"95","USA","USA",2,30,"G"
"45","Germany","GER",NA,45,"G"
"94","USA","USA",NA,45,"G"
"79","Portugal","POR",NA,46,"G"
"46","Ghana","GHA",NA,46,"G"
"10","Belgium","BEL",2,15,"H"
"1","Algeria","ALG",1,15,"H"
"84","Russia","RUS",1,16,"H"
"69","Korea Republic","KOR",1,16,"H"
"12","Belgium","BEL",1,31,"H"
"82","Russia","RUS",0,31,"H"
"3","Algeria","ALG",4,32,"H"
"67","Korea Republic","KOR",2,32,"H"
"11","Belgium","BEL",NA,47,"H"
"68","Korea Republic","KOR",NA,47,"H"
"2","Algeria","ALG",NA,48,"H"
"83","Russia","RUS",NA,48,"H"
